bloc,hassaniya_ar,hassaniya_norm,pulaar,english,sentiment,nuance
tweets,الا  جات السحاب الرجلي ما لاهي يگيسوا    فلاحتهم.,الا جات السحاب الرجلي ما لاهي يگيسوا فلاحتهم.,so tobbi ko djouti soubaka o yimbé bé djahata to guéssé,"If it rains for long in the morning, people don’t go farming.",negatif,non
tweets,ما زلت مامشيت.,ما زلت مامشيت.,mé souwato yaddé,I have not yet gone.,neutre,non
tweets,سيدي سمع لخباراو شورني.,سيدي سمع لخباراو شورني.,sidi nani khibar o té déwi kam,Sidi heard the news and also consulted me.,positif,non
tweets,ما گطيت مشيت.,ما گطيت مشيت.,mi méda yaddé tone,I have never gone.,neutre,non
tweets,قطيت گست.,قطيت گست.,mé médi yadé tone,I have gone before,neutre,non
tweets,گط جا هون.,گط جا هون.,o médi ardé do,He had once come here.,neutre,non
tweets,راهي تعاون خوها يغيير راسو امتن مناش.,راهي تعاون خوها يغيير راسو امتن مناش.,"o héwi ko djinguandé migniko gorko ,tiddo horé","She usually supports her younger brother, who is very stubborn.",positif,non
tweets,شهادة الزور ما يبقيها لا مولانا لا عبده(و).,شهاده الزور ما يبقيها لا مولانا لا عبده(و).,modjani sétadé ko wodani,It is not good to bear false witness.,negatif,non
tweets,اوخظ هوك ورا الحوش ، ولاهي يظهرلك سيترن الماء.,اوخظ هوك ورا الحوش ، ولاهي يظهرلك سيترن الماء.,"sone djéhi thiagual odo grange ,mone dji soupéré ndiyam","If you go behind that barn, you will see a container of water.",neutre,non
tweets,الموجعة خلاتني لا گاعد هون.,الموجعه خلاتني لا گاعد هون.,rafi ki djodjinimi do yen,Sickness has made me stay only around here.,negatif,non
tweets,أثرك رجعت من بلدك؟,اثرك رجعت من بلدك؟,one nguarti to djanodon to ?,Have you returned from where you went?,neutre,non
tweets,كراعو واجعتو ذاك لمخليه الا يتگلب.,كراعو واجعتو ذاك لمخليه الا يتگلب.,omo tal lo ni yén é dow lesso ngo sabo koyngual moko éné moussa,He is rolling on the bed like that because he has a painful leg.,negatif,non
tweets,واعر تحسب دورات الوتة.,واعر تحسب دورات الوته.,éné tiddi limdé labbi di roue auto tournat,It is difficult to count the number of times the wheel of a car is turning.,neutre,non
tweets,واعر.,واعر.,éné tiddi,It is difficult.,negatif,non
tweets,گلب لباسو.,گلب لباسو.,o wakhliti bagui o,He turned the cloth inside out.,neutre,non
tweets,الا سَولتك، جاوب.,الا سولتك، جاوب.,"somi namdimi mone, one djabotto","If I ask you, you will answer.",neutre,non
tweets,حرّك الكرسي اللي طرحتو.,حرك الكرسي اللي طرحتو.,o abini chaise mo djodjinomi o,He moved the chair I placed.,negatif,non
tweets,مشا ما تلا ظهر.,مشا ما تلا ظهر.,o maddji é guitté amén,He has gone out of sight.,neutre,non
tweets,مشا ما تلا ظهر.,مشا ما تلا ظهر.,holko waddi thioutdone tigguou o hono ni yén,Why did you lift the baby that way?,negatif,non
tweets,حد مغدج ، تظهر عليه.,حد مغدج ، تظهر عليه.,néddo métoudo djidjam soudata haydara,An ill-tempered person doesn't hide anything.,negatif,non
tweets,وفاة الطفل تگيم المواجع.,وفاه الطفل تگيم المواجع.,maydé nguél do thioukolél ko moussiba maodo,That child's death is very tragic.,negatif,non
tweets,ذاك الطفل  الي جانا گبيل يبان ما هو صافي.,ذاك الطفل الي جانا گبيل يبان ما هو صافي.,o do thioukolél ari do handé té no wadirta ni o holnaki,That child who came here today behaves in a very fishy manner.,negatif,non
tweets,لواد الأعذار الا كذاب.,لواد الاعذار الا كذاب.,kalo niandé fof ko wadata ko pénow tan wonat,A person who makes up excuses is always a liar.,negatif,non
tweets,حد معگاز يعود بلا فايدة.,حد معگاز يعود بلا فايده.,"so towi kon ammbé , hay houndé one nafata","If you are lazy, you will become useless",negatif,non
tweets,فرططو عادت فراشة لفراشة.,فرططو عادت فراشه لفراشه.,nguilnguou nguou wonti papillon,A caterpillar has transformed into a butterfly.,positif,non
tweets,الشغلة ما صلحتلي بيا ما نجي كل نهار.,الشغله ما صلحتلي بيا ما نجي كل نهار.,mi perti o do liguey sabo mi aratani liguadé niandé fof,I lost this job because I was not coming to work every day.,negatif,non
tweets,عطيني گشيرة من الخبز كاني نوكل.,عطيني گشيره من الخبز كاني نوكل.,hokkam tadjiténdé mbourou mbété mi  waawa niamdé,Give me a piece of bread so that I can eat.,positif,non
tweets,بيا العجلة سمعت ال شي من ذاك الي گال.,بيا العجله سمعت ال شي من ذاك الي گال.,kami kégninodo té nanguoumé tan ko séda é ko hali ko,I rushed and just got a fraction of what he said.,negatif,non
tweets,ندورو نحكمو 5 تلفونات.,ندورو نحكمو 5 تلفونات.,mén aniiyi ko soddé téléfonoudji djoy,We plan to get five phones.,neutre,non
tweets,لاهي يعدل حاشيات الطريق بالبالة.,لاهي يعدل حاشيات الطريق بالباله.,mow rakh saradji lawol nguol é pelle,He will level the sides of the road with a shovel.,neutre,non
tweets,راني بريتك ما تيت تعدل شي خاسر.,راني بريتك ما تيت تعدل شي خاسر.,"mbédé rentina mone , holto ngonté wadé ko boni",I am warning you that you should not do evil anymore.,negatif,non
tweets,گعدنا نخرسو فالقرد بيه ذاك من الكبر.,گعدنا نخرسو فالقرد بيه ذاك من الكبر.,o do wandou hawi amén sabo omo boutidi no féwi,We were astonished by that monkey because it is very big.,positif,non
tweets,ازيانت اعندو الدار الي ف أغندرت.,ازيانت اعندو الدار الي ف اغندرت.,o hawa é gallédji mo yi di Aghnewdertt,He was impressed by the houses he saw at Aghnewdertt.,positif,non
tweets,مازلت متعجب بذاك لي گال.,مازلت متعجب بذاك لي گال.,ha djoni ko hali ko ko ko bétimi,I am still surprised by what he said.,neutre,non
tweets,بايا    تعصب بيا نسيت  الكتاب.,بايا تعصب بيا نسيت الكتاب.,babaam sékki sabo ko mi djédjinodo déftéréam,My father got angry because I forgot my book.,negatif,non
tweets,الأستاذ كان يدور يخبطني يغير هربت عنو بلعجلة.,الاستاذ كان يدور يخبطني يغير هربت عنو بلعجله.,"djanguinow o ko djidnodo fiddémé ,ndjawnimi dogmé",The teacher wanted to beat me and I ran quickly.,negatif,non
tweets,لا اعطني معاك أتاي يامس كاني نشربو.,لا اعطني معاك اتاي يامس كاني نشربو.,"tottam ataya kédinodo hanki o , mbété mi waawa yardé doum",Give me the remaining tea from yesterday so that I can drink.,positif,non
tweets,الطفل خلا شي من الحسا كان يشربو الدحميس.,الطفل خلا شي من الحسا كان يشربو الدحميس.,thioukolél nguel mofti soupe mbété o waawa gniamdé doum é kikiido,The child has kept some soup so that he can eat it in the afternoon.,positif,non
tweets,اوا رانا نروك ان شاء الله.,اوا رانا نروك ان شاء الله.,Ha do yésso sééda,See you again.,positif,non
tweets,جبيت من عوينة الباب او ظهر لي.,جبيت من عوينه الباب او ظهر لي.,mé wédima guittam é woudéré bafal ngual té mi yimo,I peeked through the keyhole and saw him.,negatif,non
tweets,خرست الطريق او ما ظهرلك؟,خرست الطريق او ما ظهرلك؟,o djilima é saradji lawol nguol té ha djoni one thiouwa yidémo ?,Have you looked along the road and still not seen him?,neutre,non
tweets,وسّعنا الطريگ كان الوتات تجبر منين تتخطى.,وسعنا الطريگ كان الوتات تجبر منين تتخطي.,mén djadjni lawol nguol mbété autodji di né mbawa mbénoudé no féwi,We have widened the road so that vehicles can drive on freely.,positif,non
tweets,الطفيل يبان عاقل.,الطفيل يبان عاقل.,nguéldo thioukolél omo neehi,This child is very wise.,positif,non
tweets,مشا يگبظ فضتو         او داك  گيم دايكة,مشا يگبظ فضتو او داك گيم دايكه,"o yéhi yilaadé khaliss moko , kono doum addi harré","He went to get his money, but it started a fight.",negatif,non
tweets,فاتمتّو تعرست بمحمّد سالم ف أطار.,فاتمتو تعرست بمحمد سالم ف اطار.,fatimetou réssondiriké mohamed salem to atar,Fatimetou got married to Mohamed Salem in Atar.,positif,non
tweets,گعد شي من لي باط؟,گعد شي من لي باط؟,pattoudji éne héddi?,Is there any leftover pasta?,neutre,non
tweets,ما زال ما ريناه، ذاك معناه مززال ما  جا.,ما زال ما ريناه، ذاك معناه مززال ما جا.,"mé thiouwatow yiddémo, wadé o arani","We haven't seen him yet, so he hasn’t come.",neutre,non
tweets,مازال يخدم ف تجكجه؟,مازال يخدم ف تجكجه؟,o ligguoto ha djoni ko Tidjikja ?,Is he still working at Tidjikja?,neutre,non
tweets,ياسر ما تلاو يتبعو التقاليد.,ياسر ما تلاو يتبعو التقاليد.,yimbé fof natti réwdé aadaji boydi,Not everyone still follows the old traditions.,neutre,non
tweets,بابو مازال مگفول.,بابو مازال مگفول.,bafal moko ha djoni ko ko oudi,His door is still closed.,neutre,non
tweets,خطبت ذيك الطفلة، و بعات.,خطبت ذيك الطفله، و بعات.,"mé wadi namdalam é odo souko débbo, té o djabbi","I proposed to that girl, and she accepted.",positif,non
tweets,سيداتّي و مختار دايگو ،عاد المختار يوحل سيداتي فالغيس.,سيداتي و مختار دايگو ،عاد المختار يوحل سيداتي فالغيس.,"Sidaty é Moukhtar kabiino, Moukhtar wadi é yésso nguo bakké","Sidaty and Moukhtar fought, and Moukhtar rubbed Sidaty thoroughly in the mud.",negatif,non
tweets,گلت عني لاهي نجبر شي نشربو او نوكلو .,گلت عني لاهي نجبر شي نشربو او نوكلو .,djotiri nomi ko mami tow ton ko niamaté wala ko yareté,I went expecting drinks or food.,positif,non
tweets,منتها موجوعة، او گاست لكيفة.,منتها موجوعه، او گاست لكيفه.,"mbiyikko débbo sélano ,wadé o yéhi to kiffa",Her daughter was ill so she went to Kiffa.,negatif,non
tweets,كنت نحانيك كانا نمشيو متافگين.,كنت نحانيك كانا نمشيو متافگين.,mbédé fadano ma mbété mbawén tone yaddoudé,I was waiting for you so that we could go together.,positif,non
tweets,البنان طايب حتا عاد لين.,البنان طايب حتا عاد لين.,"o do banana éne mbendi ha bourti , té o yaffi",This banana is too ripe and has become soft.,negatif,non
tweets,هاد لامتحان  ساهل,هاد لامتحان ساهل,test o né wébbi no féwi,This test is very easy.,positif,non
tweets,الزهرة موجوعة ؛يمكن لاهي يگبظها الراس.,الزهره موجوعه ؛يمكن لاهي يگبظها الراس.,"Zahra én fawngui séda ,waddé mow dagn mousso horé",Zahra is feeling sick; maybe she will have a headache.,negatif,non
tweets,خلاني امي ددي، لاهي نلود على شي نوكلو.,خلاني امي ددي، لاهي نلود علي شي نوكلو.,"mbédé heydi no féewi , mbédémi yaha niamdé houndé",I’m really hungry; I’ll go get something to eat.,negatif,non
tweets,جبيت على شي من الرجلي او عطاوني شي من الثوب.,جبيت علي شي من الرجلي او عطاوني شي من الثوب.,"mé diéwoyio néddo , o rokikam tadjitandé baggui",I visited someone and they gave me a piece of fabric.,positif,non
tweets,اللمة راهي زينة.,اللمه راهي زينه.,dental én modji,It’s good to be united.,positif,non
tweets,كنت ماني صايب، يغير منين  لحك عليا ،جبرني.,كنت ماني صايب، يغير منين لحك عليا ،جبرني.,"komi nanguounodo ,kono ndé o sokhlouno kam ndé , mi walimo","I was busy, but when he needed me, I helped him.",positif,non
tweets,كنت ماني على برجي، يغير منين تكلمت معايا اتصنتلها.,كنت ماني علي برجي، يغير منين تكلمت معايا اتصنتلها.,"komi thiéknodo ,kono ndéw haldéyam dé ,mi hédimomo","I was angry, but when she spoke to me, I listened.",positif,non
tweets,خطّك   ازيان عندي.,خطك ازيان عندي.,mbindol ma éné wélikam no féwi,I like your handwriting very much.,positif,non
tweets,احمد  ما سگا الماء لاهي يتمشكل فالدحميس.,احمد ما سگا الماء لاهي يتمشكل فالدحميس.,"ahmed yahani yiloyadé ndiyam ,ko kanko djoguori wadé ha dagnén thiadélé kikiidé","Ahmed did not fetch water, so it will cause him trouble in the evening.",negatif,non
tweets,دار على راسو شي.,دار علي راسو شي.,o fili é horé ndé baggui,He has wrapped his head with a cloth.,neutre,non
tweets,السحاب گبظت عيشتو او  رغنتها كاملها.,السحاب گبظت عيشتو او رغنتها كاملها.,"tobo nguo ko ko mbéti aichetou, léppinimo ha é djié",The rain has caught Aichatou and has soaked her so much.,negatif,non
tweets,الا  گبظوك البوليس،  الا اطر ح بالك  او ترافگ معاهم.,الا گبظوك البوليس، الا اطر ح بالك او ترافگ معاهم.,"so policierdji dartinimone, dédjié té nguopon bé nawamone tébé ndjidi fof","If policemen arrest you, calm down and let them take you where they want to.",neutre,non
tweets,من يوم احمدّو سبّني، ما تليت نسلم عليه.,من يوم احمدو سبني، ما تليت نسلم عليه.,"nguila nandé ndé ahmedou détinokam dé , mbéda hésita salmindémo","Since the day Ahmedou insulted me, I have always been reluctant to greet him.",negatif,non
tweets,گبط ورث بوه بعد وفاتو.,گبط ورث بوه بعد وفاتو.,o hébi ndonal tiagual maydé babamoko,He received the inheritance after his father died.,neutre,non
tweets,احمد حرك ايدو او تنفخت عليه,احمد حرك ايدو او تنفخت عليه,"ahmed ko thioumdo é ndioungo ,done é done boutti",Ahmed burned his hand and it swelled immediately.,negatif,non
tweets,لا عد فالجماعة شغلو زين، الرئيس لاهي يعطيه منصب.,لا عد فالجماعه شغلو زين، الرئيس لاهي يعطيه منصب.,so tawi néddo nehimma é der groupe o ma chef o resnoumo poste guoto,"If someone behaves well in the group, the leader will give him a position.",positif,non
tweets,زگات إلين ذاك ،ما جاو يلحگوها إلين عطبها الراجل,زگات الين ذاك ،ما جاو يلحگوها الين عطبها الراجل,"o wouli ,kono hadé walobé ardé ,tow guorko guagnimo","She cried out, but before help arrived, the man had already injured her. (",negatif,non
tweets,ياسر من الحشرات مرگت ذا العام.,ياسر من الحشرات مرگت ذا العام.,kowodji kéwdi djibinama ndédo hitandé,Many insects have hatched this year.,neutre,non
tweets,الكذاب منين ينكبض الناس لاهي تم تضحك فيه الين يحشم,الكذاب منين ينكبض الناس لاهي تم تضحك فيه الين يحشم,"so pénow nanguama éni féna, ma yimbé togn mo hawa herssa","If a liar is caught, people will mock him until he feels ashamed.",negatif,non
tweets,ما هو أي حد يسلم على الأستاذ باليد.,ما هو اي حد يسلم علي الاستاذ باليد.,yimbé fof mbawa salmindé djanguinow o éné tottamo djounguo,Not everyone can greet the teacher by shaking hands.,neutre,non
tweets,لا عاد ما يبغيني حتا ، ما كان لاهي يعطيني فضتو.,لا عاد ما يبغيني حتا ، ما كان لاهي يعطيني فضتو.,"omo yiddikam no féwi ,sino wonano doum o rokatanomi khaliss moko",He loves me very much otherwise he wouldn't have given me his money.,positif,non
tweets,الشا گامت تجري فالبر.,الشا گامت تجري فالبر.,mbéwa mba dogui é nder guéssé dé,The goat has run into the field.,neutre,non
tweets,فتح الكتاب او خلاه مشيع فالسحاب,فتح الكتاب او خلاه مشيع فالسحاب,"o ouditi déftére ndé ,té o opi doum é less tobbo",He has opened the book and left it in the rain.,negatif,non
tweets,كلام گلتولو كامل ،لحگو لارواگيج.,كلام گلتولو كامل ،لحگو لارواگيج.,o haltini yimbé wadbé kamén kaldouno ko mine é moko,He has disclosed the discussion I had with him to other people.,negatif,non
tweets,الأدوات منن هيا ؟,الادوات منن هيا ؟,holto kaké ndé nguoni ?,Where are the tools?,neutre,non
tweets,شرينا الكتب، وهي وغدت كتابها.,شرينا الكتب، وهي وغدت كتابها.,"mén thiodi défté ,té o madjini boussoudji moko",We bought books and she lost hers.,negatif,non
tweets,منين طرحت كتوبك؟,منين طرحت كتوبك؟,holto mbadone defté dé,Where have you kept his books?,neutre,non
tweets,هذو نعايل محمد سالم.,هذو نعايل محمد سالم.,holto paddé mohamed salem nguoni,These are Mohamed Salem's shoes.,neutre,non
tweets,الملاك لاهي يتوحش اللاعب ذ اسبوع,الملاك لاهي يتوحش اللاعب ذ اسبوع,malaika o ma wad yéwenddé e fijootooɗo oo e ndee wikde,the angel is going to miss the athlete this weekend,negatif,non
tweets,كيفت شي أن شاك لاهي ينتقل الى كليفلاند لاهي يلعب مع ليبرون  وهذا لاهي يعود محزن لجماهير فريق  suns   وصبرهم ماتل  طويل حتت  او لم يعد موجودا,كيفت شي ان شاك لاهي ينتقل الي كليفلاند لاهي يلعب مع ليبرون وهذا لاهي يعود محزن لجماهير فريق suns وصبرهم ماتل طويل حتت او لم يعد موجودا,Ɗum waɗtonii no Shaq coopiraa laataade Cleveland ngam fijde e LeBron... Sikkaama e fanniyankooɓe Suns. Cactus Mawɗo o alaa kadi.,It looks as though Shaq is getting traded to Cleveland to play w/ LeBron... Too bad for Suns' fans. The Big Cactus is no more,negatif,non
tweets,ما تليت كاد نصبر الى  التاسع من ابريل  الزمن مايحرك,ما تليت كاد نصبر الي التاسع من ابريل الزمن مايحرك,@clarianne Ñalnde 9 Abriil dartoraani tawa,@clarianne APRIL 9TH ISN'T COMING SOON ENOUGH,negatif,non
tweets,نشرب قهوة ماكدونالدز  ولا فهمت لماذا فد يؤذيني أحدهم من دون سبب,نشرب قهوه ماكدونالدز ولا فهمت لماذا فد يؤذيني احدهم من دون سبب,"Miɗo yara kafe McDonalds, miɗo faamaani sabu ko holi neɗɗo huɓɓata kam tawa alaa ko waɗi.",drinking a McDonalds coffee and not understanding why someone would hurt me for no apparent reason.,negatif,non
tweets,أشعر بخيبة أمل لأن تايلور سويفت  ماعندها حساب على  تويتر,اشعر بخيبه امل لان تايلور سويفت ماعندها حساب علي تويتر,Mido mettina jooni ko Taylor Swift alaa e Twitter,So dissapointed Taylor Swift doesnt have a Twitter,negatif,non
tweets,نبقي أيل كنت أفجولة الربيع أمع داون ونيسي آح ،تصبحو علخير,نبقي ايل كنت افجوله الربيع امع داون ونيسي اح ،تصبحو علخير,"Mido yiɗnoo wonde e oon fiyango ""Spring Fling Tour"" miin e Dawn e neecee. En njaaraama, jamma lobbo",Wishes I was on the Spring Fling Tour with Dawn &amp; neecee Sigh  G'knight,negatif,non
tweets,حاس بنازلة عادية ،والتركة وبوهم منكيفنهم مشاو شور الشقلة فسيدني فراحة نهاية أسبوع ،يواجعة,حاس بنازله عاديه ،والتركه وبوهم منكيفنهم مشاو شور الشقله فسيدني فراحه نهايه اسبوع ،يواجعه,"Mido sinede, sukaabe ina ngoodi, gorko am ne yahi gollirde mum Sydney ngam weekend oo, mido wulla","got a sniffle, got the kids and hubby just left to work in Sydney for the weekend, boo hoo",negatif,non
tweets,مامضيت أفسيدني يكون أثلتساعات ،يغير أتوحشت أصحابي ، وخاصة كاتجاد,مامضيت افسيدني يكون اثلتساعات ،يغير اتوحشت اصحابي ، وخاصه كاتجاد,"Ko waktuuji tati tan mbaɗ-mi jooni e Sydney, kono sehilaabe am ngari e reedu am, teeŋti e @ktjade!!!",i've only been in sydney for 3 hrs but I miss my friends  especially @ktjade!!!,negatif,non
tweets,أخبارات أكسبوكس ماتشتغل أملي ظرك,اخبارات اكسبوكس ماتشتغل املي ظرك,xboxtweet fuɗɗiima gollanaade mi kadi,xboxtweet not working again,negatif,non
tweets,بيباي لترويجات بوبيهات وخاصة بليبرون وكوبي,بيباي لترويجات بوبيهات وخاصه بليبرون وكوبي,Yo puppeteji pub lebron/kobe ɗi foofto e jam...,R.I.P to lebron/kobe puppet commercials...,negatif,non
tweets,الحساسية ماه زينة شيمن لوقات.فم كلب أسقير أزوين حت عندو ألا ست أشهر ينگالو سيدني أيتم ألا مع صاحبي وصاحبو فالبيت ولاأنگد أنمسو,الحساسيه ماه زينه شيمن لوقات.فم كلب اسقير ازوين حت عندو الا ست اشهر ينگالو سيدني ايتم الا مع صاحبي وصاحبو فالبيت ولاانگد انمسو,"Allergy ina metti sahaa e sahaa. Hono mbeewa beagle mbe danyatnoo lebbi 9 ina wiyee Sydney ina fiji e sehil am, mi waawaa ko meemde mum",Allergies sucks sometimes. Theres a super adorable 9 month old beagle named Sydney hanging out with my roomie and his friend. Can't pet.,negatif,non
tweets,عندو ايفون مدقدق,عندو ايفون مدقدق,iPhone am mbonniima,has a broken iphone,negatif,non
tweets,الرنگ أفماگدونلز كان أطويل حت ،ذاك هو ألي بي ما گديت نگبظ أمبسكيتي السجق,الرنگ افماگدونلز كان اطويل حت ،ذاك هو الي بي ما گديت نگبظ امبسكيتي السجق,"Doggol ngol to McDonalds ina juuti, foti mi heɓataa mburu sausage am",Line at McDonalds was too long so I can't get my sausage biscuit on,negatif,non
tweets,ظرك منتشر فيروس يسبب القي ء والحمه,ظرك منتشر فيروس يسبب القي ء والحمه,"@stephnewby mboros ina jilloo jooni: mboros ɓesngu, tuutanduru, e jontere tiiɗnde","@stephnewby there is a virus going around  congestion, throw up, &amp; high fever",negatif,non
tweets,جرحت ايبادي,جرحت ايبادي,Mido banni iPod am,I scratched my iPod,negatif,non
tweets,مافهمت... حگحگ مافهمت,مافهمت.. حگحگ مافهمت,Mi faamaani... Hakiika mi faamaani goonga,I don't understand... I really don't,negatif,non
tweets,هي أكتيرتن ملي ،نبقيه ،نبقي أنگيسه شور أبريزفيغاس مرةخره،يغير يواجعة فظتي ماتسمحلي بذاك,هي اكتيرتن ملي ،نبقيه ،نبقي انگيسه شور ابريزفيغاس مرهخره،يغير يواجعه فظتي ماتسمحلي بذاك,"@Rove1974 @Pink ko kaŋko kadi woni guurdo men! Mido yiɗi mo! Mido yiɗnoo yahde yiyde mo kadi to Brisvegas, kono kaalis am hewtaani ɗum",@Rove1974 @Pink is our hero too! Love her! Wanna go see her in Brisvegas again but sadly my bank balance wont let me,negatif,non
tweets,حگ عند مانبقي أنعود متحمس حت بي منشوري التالي,حگ عند مانبقي انعود متحمس حت بي منشوري التالي,Mido añi kadi no mido seymitoroo tweet am lannuɗo oo,I hate the fact that I'm genuinely excited about my last tweet,negatif,non
tweets,كانت ليلة ما فيها ارگاد,كانت ليله ما فيها ارگاد,Jamma oo fof ko jamma mo mi ɗanaaki,It was a sleepless night,negatif,non
tweets,اوه، هذا مگفول,اوه، هذا مگفول,"@d_castillo ugh, ɗum ina jilwina neɗɗo","@d_castillo ugh, that's disconcerting",negatif,non
tweets,منشوراتي اعلَ اتويتر ما تنتشر,منشوراتي اعل اتويتر ما تنتشر,Tweetuuji am njaahata,MY TWEETS ARENT GOING THROUGH,negatif,non
tweets,"‎439 من السعرات الحرارية؛ 28 اگبال امن الدهون؛ 41,5امن الكربوهيدرات.. باي باي","‎439 من السعرات الحراريه؛ 28 اگبال امن الدهون؛ 41,5امن الكربوهيدرات.. باي باي",@SeattleRealEst8 439 calories; 28 grams fat; 41.7 carbs... mbaɗ-en njaaraama e Mexi-Fry,@SeattleRealEst8 439 calories; 28 grams of fat; 41.7 carbs...  by by Mexi-Fry.,neutre,non
tweets,أوه ابدى، ان شاء الله ما تمرض أنا امّلّي!,اوه ابدي، ان شاء الله ما تمرض انا املي!,@lolitariot oh no hope you're not getting sick too!,@lolitariot oh no  hope you're not getting sick too!,negatif,non
tweets,آش؟ ما اوناديت؟,اش؟ ما اوناديت؟,@mykele ko hol ɗum? Mi jeyaa e ɓe ɓe noddi...,@mykele sayyyy whaaaa? I wasn't invited...,negatif,non
tweets,كانت گابظتني الحمة ابدرجة 102 طول الليل.,كانت گابظتني الحمه ابدرجه 102 طول الليل.,Mido danyi jontere tiiɗnde jamma oo fof,I have had a 102. Fever all night.,negatif,non
tweets,اوغد خاتمو. ما يراعَى فيه افأي ابلد,اوغد خاتمو. ما يراعي فيه افاي ابلد,Feddo makko majjiima. Wonaa e nokku mo njiyteten,has lost his ring. It's no-where to be seen,negatif,non
tweets,يا مولانا!! كافس فازو 3-1!!,يا مولانا!! كافس فازو 3-1!!,Oh my gooooooodness!!!! the cavs down 3-1!!,oh my gooooooodness!!!! the cavs down 3-1!!,negatif,non
tweets,اوجيع الراص، المتكة، او عندي شغلة الصبح امع اصباح او يوم املان,اوجيع الراص، المتكه، او عندي شغله الصبح امع اصباح او يوم املان,"Hoore am ina metti, mido leloo, subaka mido golloo, kadi ko jaawgol e golle ñalnde fof janngo","Headache, bed, work in the morning, then busy all day tomorrow.",negatif,non
tweets,"يواجعه, اوباما هو التالي.","يواجعه, اوباما هو التالي.","Ko kaymettinaari, Obama woni gadduɗo oo","Sadly, Obama is the later",negatif,non
tweets,شي اكيد عن فريق ليكرز لاهي يقلب و يتأهل للنهائيات,شي اكيد عن فريق ليكرز لاهي يقلب و يتاهل للنهائيات,Lakers ɓee ma njaɓ gorko kadi ma njaah to final,THE LAKERS ARE SO GOING TO WIN AND ADVANCE TO THE FINALS,positif,non
tweets,واوو استمتع,واوو استمتع,@lightinthesky wow. mbellit mbele!,@lightinthesky wow. enjoy!,positif,non
tweets,انا رسمت حمار وحشي صغير و معيدل ، شاك عن هو المفضل عندي الى ظرك,انا رسمت حمار وحشي صغير و معيدل ، شاك عن هو المفضل عندي الي ظرك,"Mido natti kibba zebra mbo woodi, mido sikki kanko woni mbo mbur-mi yiɗde jooni",i drew a cute baby zebra i think he is my favorite so far,positif,non
